Tile Size,Operational intensity (nvprof),L1 Operational intensity (model),VRAM Operational intensity (model),TOP/s (nvprof),TOP/s (model),Runtime (us) (nvprof),Runtime (us) (model),Can fit in L1,Operational Intensity Absolute Difference Error,Teraops Absolute Difference Error
222 1 4,140.4436000949893,16.36028659160696,144.45487624455197,1.758510744809563,1.5429496696696694,0.0020663,0.0011988,True,0.028561473408896004,0.12258160820236422
111 1 8,140.4436000949893,23.592619926199262,144.45487624455197,1.6954928617423357,1.5429496696696694,0.0021431,0.0011988,True,0.028561473408896004,0.08996982264844729
222 2 2,140.4436000949893,8.64935064935065,144.45487624455197,1.862530499769337,1.5429496696696694,0.0019509000000000002,0.0011988,True,0.028561473408896004,0.17158421305811947
111 1 4,140.4436000949893,14.252340615247437,144.45487624455197,1.8835782240422994,1.5602861828120254,0.0019291,0.00118548,True,0.028561473408896004,0.1716371728573423
111 1 2,140.4436000949893,7.9542174670316,144.45487624455197,1.9266228801696712,1.5602861828120254,0.0018859999999999999,0.00118548,True,0.028561473408896004,0.19014447566686418
111 2 1,140.4436000949893,4.324675324675325,144.45487624455197,1.4294861135371177,1.5602861828120254,0.0025419,0.00118548,True,0.028561473408896004,0.0915014619843044
111 1 1,140.4436000949893,4.22242768458592,144.45487624455197,1.6672527998531708,1.5602861828120254,0.0021793999999999997,0.00118548,True,0.028561473408896004,0.06415740735332134
12 12 4,34.60325406758448,14.337770095073466,91.26596604688763,1.5109903444595167,1.6725333333333332,0.00044969,0.00027648,True,1.6374966316356776,0.1069119928305039
3 3 32,34.60325406758448,4.362718283189564,91.26596604688763,0.8270573640391452,1.6725333333333332,0.0008215599999999999,0.00027648,True,1.6374966316356776,1.0222700456532916
6 6 16,34.60325406758448,14.3601108033241,91.26596604688763,1.1747735057660058,1.6725333333333332,0.0005783899999999999,0.00027648,True,1.6374966316356776,0.4237070593814297
12 6 8,34.60325406758448,17.922212618841833,91.26596604688763,1.3401918106508877,1.6725333333333332,0.000507,0.00027648,True,1.6374966316356776,0.24798056520061712
6 12 8,34.60325406758448,17.922212618841833,91.26596604688763,1.2710249873735011,1.6725333333333332,0.00053459,0.00027648,True,1.6374966316356776,0.31589335374871397
12 3 16,34.60325406758448,14.375043327556325,91.26596604688763,1.2330144047035765,1.6725333333333332,0.0005510700000000001,0.00027648,True,1.6374966316356776,0.3564588758680557
3 12 16,34.60325406758448,14.375043327556325,91.26596604688763,0.9784675892458565,1.6725333333333332,0.0006944299999999999,0.00027648,True,1.6374966316356776,0.709339534304269
